
/home/nitro/Studia/Praca Dyplomowa/noisy_labels/Dataset/SegSperm/train
/home/nitro/Studia/Praca Dyplomowa/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3070 Laptop GPU
Epoch 55, Train Loss: 0.5536030381917953, Validation Loss: 0.5579670369625092, Validation IOU: 0.32428734593782393
Epoch 56, Train Loss: 0.5535398580961757, Validation Loss: 0.5581744238734245, Validation IOU: 0.303552105552011
Epoch 57, Train Loss: 0.5534650501277711, Validation Loss: 0.5579525157809258, Validation IOU: 0.3242951474966276
Epoch 58, Train Loss: 0.5533910074995624, Validation Loss: 0.5578584894537926, Validation IOU: 0.3178651065795725
Epoch 59, Train Loss: 0.5533168249660068, Validation Loss: 0.5578146129846573, Validation IOU: 0.29985481661644414
Epoch 60, Train Loss: 0.5532318924864134, Validation Loss: 0.5581895038485527, Validation IOU: 0.32792462971137637
Epoch 61, Train Loss: 0.5531628624432616, Validation Loss: 0.55779829621315, Validation IOU: 0.3096987737681358
Epoch 62, Train Loss: 0.5531183746125963, Validation Loss: 0.557932935655117, Validation IOU: 0.31207131921629355
Epoch 63, Train Loss: 0.5530565343797207, Validation Loss: 0.5576486214995384, Validation IOU: 0.29385054938513033
Epoch 64, Train Loss: 0.5529803819954395, Validation Loss: 0.5577923059463501, Validation IOU: 0.30257144393434987
Epoch 65, Train Loss: 0.5529298463629352, Validation Loss: 0.5579991042613983, Validation IOU: 0.3116940423345146
Epoch 66, Train Loss: 0.552883861379491, Validation Loss: 0.558320440351963, Validation IOU: 0.31337221379751945
Epoch 67, Train Loss: 0.5528174791898992, Validation Loss: 0.5580919459462166, Validation IOU: 0.31341426887645013
Epoch 68, Train Loss: 0.5527678098943498, Validation Loss: 0.558178648352623, Validation IOU: 0.31425945545061434
Epoch 69, Train Loss: 0.5527473721239302, Validation Loss: 0.5577575713396072, Validation IOU: 0.3082561008188961
Epoch 70, Train Loss: 0.5526710554129548, Validation Loss: 0.5578852966427803, Validation IOU: 0.3009801656430073
Epoch 71, Train Loss: 0.5526401156352626, Validation Loss: 0.5582408383488655, Validation IOU: 0.30065541365048704
Epoch 72, Train Loss: 0.5525982259876199, Validation Loss: 0.5579085201025009, Validation IOU: 0.31078725409435487
Epoch 73, Train Loss: 0.5525587511559328, Validation Loss: 0.5581928491592407, Validation IOU: 0.3078690123731131
Epoch 74, Train Loss: 0.5525459812747108, Validation Loss: 0.5579020380973816, Validation IOU: 0.31438999696070313
Epoch 75, Train Loss: 0.5525129048360718, Validation Loss: 0.5578683018684387, Validation IOU: 0.32006630287457655
Epoch 76, Train Loss: 0.5524469895495309, Validation Loss: 0.5581627115607262, Validation IOU: 0.30659665044007167
Epoch 77, Train Loss: 0.5524507802393701, Validation Loss: 0.5580582171678543, Validation IOU: 0.30478629557383746
Epoch 78, Train Loss: 0.5524123989873462, Validation Loss: 0.5578827783465385, Validation IOU: 0.30491758409122593
Epoch 79, Train Loss: 0.5523819244570203, Validation Loss: 0.5580336824059486, Validation IOU: 0.311213719521692
Epoch 80, Train Loss: 0.5523614312211672, Validation Loss: 0.5582208409905434, Validation IOU: 0.3195568860732768
Epoch 81, Train Loss: 0.5523533038794994, Validation Loss: 0.5580308735370636, Validation IOU: 0.30799145769875597
Epoch 82, Train Loss: 0.5523292256726159, Validation Loss: 0.557893417775631, Validation IOU: 0.3165671514780944
Epoch 83, Train Loss: 0.5523040009041628, Validation Loss: 0.5579608902335167, Validation IOU: 0.3120293589230162
Epoch 84, Train Loss: 0.5523041300475597, Validation Loss: 0.5580031499266624, Validation IOU: 0.3146806402534817
Epoch 85, Train Loss: 0.5522887661225266, Validation Loss: 0.5583667531609535, Validation IOU: 0.3065110076653251
Epoch 86, Train Loss: 0.5522695324487157, Validation Loss: 0.5581900700926781, Validation IOU: 0.31148339442619527
Epoch 87, Train Loss: 0.5522710838251643, Validation Loss: 0.5578692927956581, Validation IOU: 0.3051839520110506
Epoch 88, Train Loss: 0.5522412086526552, Validation Loss: 0.5579741224646568, Validation IOU: 0.30845121364852096
Epoch 89, Train Loss: 0.5522342005537616, Validation Loss: 0.5579224973917007, Validation IOU: 0.3208920400818251
Epoch 90, Train Loss: 0.5522242966625426, Validation Loss: 0.557983323931694, Validation IOU: 0.30714786743932987
Epoch 91, Train Loss: 0.552217119683822, Validation Loss: 0.5579443201422691, Validation IOU: 0.30424015402683935
Epoch 92, Train Loss: 0.5522132921550009, Validation Loss: 0.5578334107995033, Validation IOU: 0.29749774351918334
Epoch 93, Train Loss: 0.5522052687075403, Validation Loss: 0.5579248368740082, Validation IOU: 0.300035810519571
Epoch 94, Train Loss: 0.5522033249338468, Validation Loss: 0.5581774860620499, Validation IOU: 0.3111828549334533
Epoch 95, Train Loss: 0.5521945820914375, Validation Loss: 0.5578737258911133, Validation IOU: 0.30683837827355226
Epoch 96, Train Loss: 0.5521891315778097, Validation Loss: 0.5582773610949516, Validation IOU: 0.30425033013561037
Epoch 97, Train Loss: 0.5521978131598897, Validation Loss: 0.5583112761378288, Validation IOU: 0.29991521911004304
Epoch 98, Train Loss: 0.5521889225476317, Validation Loss: 0.5579817369580269, Validation IOU: 0.3067193154094424
Epoch 99, Train Loss: 0.5521920472383499, Validation Loss: 0.5579562336206436, Validation IOU: 0.3061252283353784
Epoch 100, Train Loss: 0.5521862486170398, Validation Loss: 0.5581821277737617, Validation IOU: 0.3082753978816775
