
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 31, Train Loss: 0.020381588954478502, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3351125259793872, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4083843712521544
Epoch 32, Train Loss: 0.019820338115096092, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.33242701044409373, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4382639055964738
Epoch 33, Train Loss: 0.019423432275652887, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3283255732058616, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.43839535160521764
Epoch 34, Train Loss: 0.018940527644008397, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3287616306898585, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.37101836734226545
Epoch 35, Train Loss: 0.018792394921183585, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3268775851295223, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.3808849531862653
Epoch 36, Train Loss: 0.018317011836916208, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3268482927673303, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.32119588307020136
Model saved
Epoch 37, Train Loss: 0.018127518706023693, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3303524862723377, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.41196384033838845
Epoch 38, Train Loss: 0.017888477817177773, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.32746194269672246, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4195979579698943
Epoch 39, Train Loss: 0.01748234694823623, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.32431227614214275, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.34452278682557025
Epoch 40, Train Loss: 0.01703810840845108, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.31804221863386173, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.31449185107289546
Model saved
Epoch 41, Train Loss: 0.016959894355386494, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3246306546483717, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.37826187346072343
Epoch 42, Train Loss: 0.01652548131532967, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3178325246372201, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.39096475083788806
Epoch 43, Train Loss: 0.016414458770304917, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.320105845534719, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.36913605465357213
Epoch 44, Train Loss: 0.01612315373495221, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.31694861524864726, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.3937650957393691
Epoch 45, Train Loss: 0.016077958373352887, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.31846060089464673, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.43409252930386877
Epoch 46, Train Loss: 0.015904433466494082, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3177583170289586, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4567814834274943
Epoch 47, Train Loss: 0.01577949379570782, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.32104974658303104, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.43771517434754476
