
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 55, Train Loss: 0.033086401503533126, Train Iou: 0.3832407882558514, Validation IOU: 0.3849772339618767
Epoch 56, Train Loss: 0.03268337696790695, Train Iou: 0.38430247782335275, Validation IOU: 0.41992956859474295
Epoch 57, Train Loss: 0.03185426974669099, Train Iou: 0.38573975480621636, Validation IOU: 0.3971635716611942
Epoch 58, Train Loss: 0.03133674263954163, Train Iou: 0.3812055365485813, Validation IOU: 0.41845848090500887
Epoch 59, Train Loss: 0.031383526511490345, Train Iou: 0.3846062867211436, Validation IOU: 0.41518435787050484
Epoch 60, Train Loss: 0.030553241819143297, Train Iou: 0.38707071022743994, Validation IOU: 0.39334673739384424
Epoch 61, Train Loss: 0.030142372753471137, Train Iou: 0.388478963826891, Validation IOU: 0.3949048144543647
Epoch 62, Train Loss: 0.030018713790923357, Train Iou: 0.38545308844367143, Validation IOU: 0.41808306421450736
Epoch 63, Train Loss: 0.029117115214467047, Train Iou: 0.3814260547315882, Validation IOU: 0.3957912903374164
Epoch 64, Train Loss: 0.029019671585410835, Train Iou: 0.38468492641727503, Validation IOU: 0.3897984946737029
Epoch 65, Train Loss: 0.028320594411343335, Train Iou: 0.3835138344925273, Validation IOU: 0.3921625184794575
Epoch 66, Train Loss: 0.027945213858038186, Train Iou: 0.3842515796388187, Validation IOU: 0.36531961087348425
Epoch 67, Train Loss: 0.027485902793705462, Train Iou: 0.3793522368922005, Validation IOU: 0.4259323305078049
Epoch 68, Train Loss: 0.02751522362232208, Train Iou: 0.38281760653773966, Validation IOU: 0.3357282788836289
Model saved
Epoch 69, Train Loss: 0.0266239445656538, Train Iou: 0.3811535097163078, Validation IOU: 0.3560307476454077
Epoch 70, Train Loss: 0.026341511588543653, Train Iou: 0.37801218995712443, Validation IOU: 0.38601005814373396
Epoch 71, Train Loss: 0.02617277866229415, Train Iou: 0.37806545180003803, Validation IOU: 0.37950806810839444
Epoch 72, Train Loss: 0.025963797606527804, Train Iou: 0.38127500843197315, Validation IOU: 0.35666560263048247
Epoch 73, Train Loss: 0.02562029492110014, Train Iou: 0.38084269363040946, Validation IOU: 0.4483061864741386
Epoch 74, Train Loss: 0.025637351162731647, Train Iou: 0.3816817941424829, Validation IOU: 0.4405024176504209
Epoch 75, Train Loss: 0.02494389284402132, Train Iou: 0.37473553226323053, Validation IOU: 0.4168994996886441
Epoch 76, Train Loss: 0.024805460963398217, Train Iou: 0.37639577204355984, Validation IOU: 0.4390854450364876
Epoch 77, Train Loss: 0.024575382843613623, Train Iou: 0.37982293113315513, Validation IOU: 0.41929628597694135
Epoch 78, Train Loss: 0.024407298397272827, Train Iou: 0.3758182255397876, Validation IOU: 0.4061179708399085
Epoch 79, Train Loss: 0.024010979291051626, Train Iou: 0.3803261979530107, Validation IOU: 0.43100168907043623
Epoch 80, Train Loss: 0.023835570178925992, Train Iou: 0.37746919276523716, Validation IOU: 0.4045290913598564
Epoch 81, Train Loss: 0.023338831122964622, Train Iou: 0.37212710250666053, Validation IOU: 0.4330425623257538
Epoch 82, Train Loss: 0.023770555667579175, Train Iou: 0.38047730640741484, Validation IOU: 0.409132076662847
Epoch 83, Train Loss: 0.023431513644754886, Train Iou: 0.3746959866207452, Validation IOU: 0.3851399705139986
Epoch 84, Train Loss: 0.022999085020273924, Train Iou: 0.37489278386240876, Validation IOU: 0.42384309184885344
Epoch 85, Train Loss: 0.02256597429513931, Train Iou: 0.3762336586982687, Validation IOU: 0.3891738884725092
Epoch 86, Train Loss: 0.02231351537629962, Train Iou: 0.36889096357155216, Validation IOU: 0.3729454508463341
Epoch 87, Train Loss: 0.022490143589675427, Train Iou: 0.3743577763841966, Validation IOU: 0.367944309803991
Epoch 88, Train Loss: 0.021891034673899412, Train Iou: 0.3691176838656041, Validation IOU: 0.42823599466318896
Epoch 89, Train Loss: 0.022253066953271627, Train Iou: 0.37424363857578247, Validation IOU: 0.43257612801094425
Epoch 90, Train Loss: 0.022041007038205863, Train Iou: 0.37579391386753846, Validation IOU: 0.3883605541501901
Epoch 91, Train Loss: 0.021694727521389724, Train Iou: 0.3738459527316539, Validation IOU: 0.4058932985283788
Epoch 92, Train Loss: 0.0216632716357708, Train Iou: 0.3776053980375921, Validation IOU: 0.35794098967046295
Epoch 93, Train Loss: 0.02119158869609237, Train Iou: 0.36812024832531837, Validation IOU: 0.3950242124980578
Epoch 94, Train Loss: 0.020893171522766353, Train Iou: 0.3662766518722774, Validation IOU: 0.4414824725105296
Epoch 95, Train Loss: 0.02110131112858653, Train Iou: 0.3689420762819883, Validation IOU: 0.3673247823823047
Epoch 96, Train Loss: 0.020948664844036104, Train Iou: 0.3708414874074756, Validation IOU: 0.37290131411198546
Epoch 97, Train Loss: 0.020653392653912306, Train Iou: 0.3691000330877775, Validation IOU: 0.4273998969372057
Epoch 98, Train Loss: 0.02051834361627698, Train Iou: 0.37091151089038227, Validation IOU: 0.35816396688100094
