
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 31, Train Loss: 0.004811533681479179, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1874407793413121, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4322741402396988
Epoch 32, Train Loss: 0.004213509503946018, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.16433872563658836, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4273023642423892
Epoch 33, Train Loss: 0.003921394860501298, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.15267518196335572, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4223355228700857
Model saved
Epoch 34, Train Loss: 0.0037305701763317403, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.14620202344549615, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4379793171554079
Epoch 35, Train Loss: 0.0035628387704491615, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1397079372561235, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.43389565950174247
Epoch 36, Train Loss: 0.003416985913645476, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.13382302415229586, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4318774679316734
Epoch 37, Train Loss: 0.0032838309756092108, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1288978023959493, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.44134761929954547
Epoch 38, Train Loss: 0.0031354924107694793, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.12323371675346226, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.421859477165303
Model saved
Epoch 39, Train Loss: 0.0030550938018778753, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.12050121120608491, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4288282901192639
