
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 31, Train Loss: 0.028264108672738077, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2156779930255186, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.49509819545072953
Epoch 32, Train Loss: 0.02730739479884505, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.22008671863387858, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5839321092512604
Epoch 33, Train Loss: 0.02596403183415532, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.21011127828780718, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5210307243037082
Epoch 34, Train Loss: 0.024998061824589968, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2099047723297572, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5045821236793886
Epoch 35, Train Loss: 0.02372705824673176, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.19664323147908638, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5419415216316901
Epoch 36, Train Loss: 0.022949063405394553, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.19896087279012034, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5543092786859255
Epoch 37, Train Loss: 0.02190201310440898, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.19109357057245027, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5724838149551751
Epoch 38, Train Loss: 0.02111683478578925, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1881141422318136, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.450347982209319
Epoch 39, Train Loss: 0.020343836583197116, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1848335168012603, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6094778561683463
Epoch 40, Train Loss: 0.01941275019198656, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.17337807497334498, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6214948690985347
Epoch 41, Train Loss: 0.018776855990290643, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.17293705288875544, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.470665099884986
Epoch 42, Train Loss: 0.018037006352096797, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.16607917495167657, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6256921473910375
Epoch 43, Train Loss: 0.017430784273892642, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1645911803937156, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5731894532945376
Epoch 44, Train Loss: 0.01680600279942155, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.15949658318327747, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5713862855315984
Epoch 45, Train Loss: 0.01627592104487121, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1578176949931317, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.42118243065251176
Model saved
Epoch 46, Train Loss: 0.015676597971469163, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.15005132193381018, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4319528262583449
Epoch 47, Train Loss: 0.015167813841253519, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.14551475468135933, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4606735222199652
Epoch 48, Train Loss: 0.014695592783391475, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.14381191379925523, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.42852550745252443
Epoch 49, Train Loss: 0.01432152111083269, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.14551081576807853, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4636502705305691
Epoch 50, Train Loss: 0.013821111433207989, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1403661201304359, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5196395437239689
Epoch 51, Train Loss: 0.013522062171250581, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.14139510722168228, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5787887939822044
Epoch 52, Train Loss: 0.013169486587867141, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.14037610634127215, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4360012670858026
Epoch 53, Train Loss: 0.012901222053915262, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.14293744737248865, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5100923968789708
Epoch 54, Train Loss: 0.012420445587486029, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.13696415771122683, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.42757806043489444
Epoch 55, Train Loss: 0.012129089049994945, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.13561777164301833, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.468402705161662
Epoch 56, Train Loss: 0.011775125842541456, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.13081335375219508, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5617771841393822
Epoch 57, Train Loss: 0.011459723114967346, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.12936660417105933, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6248729787195064
Epoch 58, Train Loss: 0.010961603652685881, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.11850222506307218, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5599621911863548
