
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 31, Train Loss: 0.023120731208473445, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.19713193961446054, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5215214437400781
Epoch 32, Train Loss: 0.021958154067397116, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.18525698585125258, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5480464567358023
Epoch 33, Train Loss: 0.021123898774385454, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.18032813481952997, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4842483986849498
Epoch 34, Train Loss: 0.020440584421157836, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.17853402723024736, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4166462802679577
Epoch 35, Train Loss: 0.019610151834785938, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.17433079875867066, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6098467988346259
Epoch 36, Train Loss: 0.01883611436933279, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.16841688274055988, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5784797030573567
Epoch 37, Train Loss: 0.018407794646918774, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.17108967944873393, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6072717390173621
Epoch 38, Train Loss: 0.01790580218657851, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1712809816578794, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.49931389086003475
Epoch 39, Train Loss: 0.01714565437287092, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.16264390442515722, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4258121821437318
Epoch 40, Train Loss: 0.01655928837135434, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1575653299085017, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.475292279225269
Epoch 41, Train Loss: 0.016037801280617714, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.15574383877678905, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5317745913727886
Epoch 42, Train Loss: 0.015339458640664817, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1488810575927193, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6191517466241546
Epoch 43, Train Loss: 0.014898774912580848, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.14460065056671725, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4447798437447252
Epoch 44, Train Loss: 0.014288370264694095, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1381357399766051, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4383693489878596
Epoch 45, Train Loss: 0.013990496937185525, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.13906093552926946, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6139905720039598
Epoch 46, Train Loss: 0.013720606733113528, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.14228641454939692, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4699195967217806
Epoch 47, Train Loss: 0.013406071998178958, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.14240417982280382, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5003648622007255
Epoch 48, Train Loss: 0.013040142133831978, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.138963531776635, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4461102371980567
Epoch 49, Train Loss: 0.01256050425581634, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.13301789031022512, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5062510361573931
Epoch 50, Train Loss: 0.012146762339398265, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.12879163115936795, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.43929965871411114
Epoch 51, Train Loss: 0.01176042491570115, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1247896845223448, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5107492104790843
Epoch 52, Train Loss: 0.011481003416702152, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.12380336666514073, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4901871683378289
Epoch 53, Train Loss: 0.011359077692031861, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1278241831166254, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.41668642332484296
Epoch 54, Train Loss: 0.01122754137031734, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.13055241457708058, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5014326094797145
Epoch 55, Train Loss: 0.010691066086292268, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.12034908638552881, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.40254227468852893
Epoch 56, Train Loss: 0.010463383421301842, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.11985418110620513, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4132264038513309
Epoch 57, Train Loss: 0.010137091530486942, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.11448387982974398, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.542055273018057
Epoch 58, Train Loss: 0.00980964140035212, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.11074067267136019, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5382900234402805
Epoch 59, Train Loss: 0.009725543716922403, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.11329145366767135, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5030651190635758
Epoch 60, Train Loss: 0.009629146987572312, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1171025026649571, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5196492616087938
Epoch 61, Train Loss: 0.009407239640131593, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.11306766377742423, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.43791787120519376
Epoch 62, Train Loss: 0.009302378864958882, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.11712430132794671, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.43593281001565903
Epoch 63, Train Loss: 0.008865269087255, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.10724528426854796, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4988790265018553
Epoch 64, Train Loss: 0.008853614958934487, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.10977197479876791, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5862614786837559
Epoch 65, Train Loss: 0.008603317639790475, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.10877224695980639, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5420182347703162
Epoch 66, Train Loss: 0.00821061518508941, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.10025861066830968, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5349821781374661
Epoch 67, Train Loss: 0.008295719022862613, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1080241478776118, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.429197962038294
Epoch 68, Train Loss: 0.007913942425511777, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.099452273499492, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4630468888613755
Epoch 69, Train Loss: 0.007872040662914515, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.10258697322653865, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5432256895399052
