
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 55, Train Loss: 0.03262945730239153, Train Iou: 0.32783874311589073, Validation IOU: 0.2783442115990164
Model saved
Epoch 56, Train Loss: 0.03186289891600609, Train Iou: 0.31598090108208926, Validation IOU: 0.3357088175624506
Epoch 57, Train Loss: 0.031323571037501094, Train Iou: 0.3203959193148691, Validation IOU: 0.3084566143729931
Epoch 58, Train Loss: 0.030929935816675424, Train Iou: 0.3159672426608679, Validation IOU: 0.34884299513771444
Epoch 59, Train Loss: 0.030360610596835612, Train Iou: 0.3214023248183855, Validation IOU: 0.31537579822526934
Epoch 60, Train Loss: 0.029971282090991737, Train Iou: 0.3180037843164366, Validation IOU: 0.31384822380649036
Epoch 61, Train Loss: 0.029357117414474488, Train Iou: 0.31190471436686096, Validation IOU: 0.3197353569910093
Epoch 62, Train Loss: 0.0289530741982162, Train Iou: 0.316507248974818, Validation IOU: 0.3394840339296194
Epoch 63, Train Loss: 0.028961841389536856, Train Iou: 0.3241765907721955, Validation IOU: 0.3393599020216504
Epoch 64, Train Loss: 0.028740651719272137, Train Iou: 0.32333142301060847, Validation IOU: 0.3368037619145034
Epoch 65, Train Loss: 0.027954069897532463, Train Iou: 0.31489434035970154, Validation IOU: 0.40694924399406235
Epoch 66, Train Loss: 0.027316922787576914, Train Iou: 0.3127831727960209, Validation IOU: 0.35703961412521035
Epoch 67, Train Loss: 0.02721174983307719, Train Iou: 0.3181793632903147, Validation IOU: 0.3160090225391205
Epoch 68, Train Loss: 0.027028935495764017, Train Iou: 0.3179811624695017, Validation IOU: 0.28798618742803406
Epoch 69, Train Loss: 0.026323222368955613, Train Iou: 0.31044636641411844, Validation IOU: 0.33160390575515053
Epoch 70, Train Loss: 0.026126923412084578, Train Iou: 0.312750409772229, Validation IOU: 0.3202155778128406
Epoch 71, Train Loss: 0.025826324243098497, Train Iou: 0.3131296628070892, Validation IOU: 0.33704666718024445
Epoch 72, Train Loss: 0.025570011138916014, Train Iou: 0.3135997238351663, Validation IOU: 0.31252570542064867
Epoch 73, Train Loss: 0.025293006096035242, Train Iou: 0.3119766210443544, Validation IOU: 0.34362352497211557
Epoch 74, Train Loss: 0.024617048259824515, Train Iou: 0.3139535904141653, Validation IOU: 0.31190531424356954
Epoch 75, Train Loss: 0.024847867898643017, Train Iou: 0.30835229557721566, Validation IOU: 0.4313315022031524
Epoch 76, Train Loss: 0.024248812068253755, Train Iou: 0.31033332136075414, Validation IOU: 0.3169696368517943
Epoch 77, Train Loss: 0.024228161107748745, Train Iou: 0.3124476722757448, Validation IOU: 0.3317814638542241
Epoch 78, Train Loss: 0.023979056999087332, Train Iou: 0.31047085291820264, Validation IOU: 0.30280504035713623
Epoch 79, Train Loss: 0.02354556368663907, Train Iou: 0.30856097590214154, Validation IOU: 0.3333869541997925
Epoch 80, Train Loss: 0.023903046175837515, Train Iou: 0.3175533863348429, Validation IOU: 0.33290148528393276
Epoch 81, Train Loss: 0.02365197129547596, Train Iou: 0.3117879775506144, Validation IOU: 0.3540355006804113
Epoch 82, Train Loss: 0.02300955420359969, Train Iou: 0.3145192671126729, Validation IOU: 0.31911418913911155
Epoch 83, Train Loss: 0.022465946711599828, Train Iou: 0.3021772006997125, Validation IOU: 0.3379188969506713
Epoch 84, Train Loss: 0.022649270948022604, Train Iou: 0.3101154253683191, Validation IOU: 0.3561053772279381
Epoch 85, Train Loss: 0.0225056292489171, Train Iou: 0.30622870456928436, Validation IOU: 0.37026566360252433
Epoch 86, Train Loss: 0.022172740940004588, Train Iou: 0.31034994227241053, Validation IOU: 0.32525545824247565
Epoch 87, Train Loss: 0.021766565553843976, Train Iou: 0.3038014591386412, Validation IOU: 0.3738219700598439
Epoch 88, Train Loss: 0.02170383920893073, Train Iou: 0.30811051956017177, Validation IOU: 0.32092939834112266
Epoch 89, Train Loss: 0.021520919911563397, Train Iou: 0.3050387196565385, Validation IOU: 0.3069487595583488
Epoch 90, Train Loss: 0.021407827362418176, Train Iou: 0.3059999462656118, Validation IOU: 0.36953239906847785
Epoch 91, Train Loss: 0.021600750647485255, Train Iou: 0.31106432651838656, Validation IOU: 0.335287282365834
Epoch 92, Train Loss: 0.021470900531858204, Train Iou: 0.3128102636739765, Validation IOU: 0.36335698237510844
Epoch 93, Train Loss: 0.020841653924435377, Train Iou: 0.3045989579699093, Validation IOU: 0.371123267993446
Epoch 94, Train Loss: 0.020537522807717323, Train Iou: 0.3017481346327274, Validation IOU: 0.47328768953451195
