
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 31, Train Loss: 0.010255651781335473, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.28100812770739625, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4290293067677448
Model saved
Epoch 32, Train Loss: 0.009895712538208399, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.27579318965406363, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.42802030397724966
Model saved
Epoch 33, Train Loss: 0.009660655302771678, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.27003805732481856, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.43321748463861
Epoch 34, Train Loss: 0.009565883626540502, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2688556385170745, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.42784787515228745
Model saved
Epoch 35, Train Loss: 0.009712136240624305, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2704687532864804, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4251297284574252
Model saved
Epoch 36, Train Loss: 0.009858643228653818, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.27256816772169684, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4535481045932132
Epoch 37, Train Loss: 0.009624926185804523, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.268053325335029, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4159389487206712
Model saved
Epoch 38, Train Loss: 0.012511332952676134, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.30321078981858407, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.699737469596136
Epoch 39, Train Loss: 0.013844756668226587, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3225091346647444, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5426490433982809
Epoch 40, Train Loss: 0.011324293439328257, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2986207022201556, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5221347327476076
Epoch 41, Train Loss: 0.010832757695526298, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.29122176813942824, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4941964989656223
Epoch 42, Train Loss: 0.010531385526216278, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2865421128147316, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.47455279113646964
Epoch 43, Train Loss: 0.010244306985340599, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2801875421377665, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4848903742754787
Epoch 44, Train Loss: 0.009924187525434213, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2737464517577732, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4946288707359967
Epoch 45, Train Loss: 0.009789921711975088, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2721840121530008, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.47851841803087414
Epoch 46, Train Loss: 0.009740333215126561, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2711809406708613, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.47459301617445243
Epoch 47, Train Loss: 0.009639825257990096, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.26993542637181894, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4740756418398259
Epoch 48, Train Loss: 0.00950507225934416, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.266087883392919, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4736501638557874
Epoch 49, Train Loss: 0.009325280998988697, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.26347046411778546, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4512192450106085
Epoch 50, Train Loss: 0.009373373500744088, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2632510909182429, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4510397476865016
