
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 42, Train Loss: 0.03819746542721987, Train Iou: 0.1296943853566636, Validation Loss: 0.10709382593631744, Validation IOU: 0.3421272050919239
Epoch 43, Train Loss: 0.03667487632483244, Train Iou: 0.12530274777871384, Validation Loss: 0.12290020659565926, Validation IOU: 0.370380191952388
Epoch 44, Train Loss: 0.03537084870040417, Train Iou: 0.12560770648333258, Validation Loss: 0.08942312933504581, Validation IOU: 0.24132576572808373
Model saved
Epoch 45, Train Loss: 0.034213358722627166, Train Iou: 0.12376088405105286, Validation Loss: 0.24296493083238602, Validation IOU: 0.3079081905552646
Epoch 46, Train Loss: 0.03337153326719999, Train Iou: 0.12304367861796325, Validation Loss: 0.1031719520688057, Validation IOU: 0.3452452120460806
Epoch 47, Train Loss: 0.03294089986011386, Train Iou: 0.13023544949602756, Validation Loss: 0.0999058149755001, Validation IOU: 0.32840223482266834
Epoch 48, Train Loss: 0.0316289640031755, Train Iou: 0.12786056076204777, Validation Loss: 0.08447055146098137, Validation IOU: 0.24221330471080416
Epoch 49, Train Loss: 0.030422847904264926, Train Iou: 0.12242288409534137, Validation Loss: 0.12009749934077263, Validation IOU: 0.3343494379020808
Epoch 50, Train Loss: 0.02918640077114105, Train Iou: 0.11885208925804298, Validation Loss: 0.15478971228003502, Validation IOU: 0.3204559203342629
Epoch 51, Train Loss: 0.028013485576957466, Train Iou: 0.11478399194385584, Validation Loss: 0.10739544406533241, Validation IOU: 0.3569165907049569
Epoch 52, Train Loss: 0.026911627035588026, Train Iou: 0.10926586013736297, Validation Loss: 0.10935211554169655, Validation IOU: 0.35129179593658544
Epoch 53, Train Loss: 0.026214796397835017, Train Iou: 0.1095864609620597, Validation Loss: 0.13695098459720612, Validation IOU: 0.3307661354531756
Epoch 54, Train Loss: 0.025614874344319104, Train Iou: 0.10677932378646844, Validation Loss: 0.11134225502610207, Validation IOU: 0.3121064967955562
