epoch,accuracy,auc,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,val_accuracy,val_auc,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity
23,0.9957314133644104,0.9960401654243469,0.010090000927448273,0.001,0.9942046403884888,0.999829888343811,0.993766188621521,0.9337536096572876,0.0234485175460577,0.8860422372817993,0.9985180497169495
24,0.9957737922668457,0.9961506724357605,0.009798021987080574,0.001,0.994369626045227,0.9998389482498169,0.9926198720932007,0.946730375289917,0.02450040727853775,0.9128469228744507,0.9979366064071655
25,0.995834469795227,0.9963656067848206,0.009476733393967152,0.001,0.9946854114532471,0.9998394250869751,0.9924748539924622,0.9336283206939697,0.026423851028084755,0.9094976186752319,0.9976511001586914
26,0.9958822727203369,0.9962496161460876,0.009306458756327629,0.001,0.9944331049919128,0.9998515844345093,0.9936577677726746,0.9413073658943176,0.021932894363999367,0.8958916068077087,0.9985275268554688
27,0.995930552482605,0.9966735243797302,0.008978993631899357,0.001,0.9951652884483337,0.999859631061554,0.9935743808746338,0.9369969367980957,0.026512952521443367,0.9091206192970276,0.998603105545044
28,0.9960158467292786,0.9967616200447083,0.008681575767695904,0.001,0.9952393770217896,0.9998685717582703,0.9927899241447449,0.9485490322113037,0.02415040135383606,0.9255844354629517,0.9979903697967529
29,0.9960777759552002,0.9969114065170288,0.008408425375819206,0.001,0.9954493045806885,0.9998745322227478,0.9756078124046326,0.9141371250152588,0.06031893193721771,0.8925456404685974,0.9901069402694702
30,0.9960997104644775,0.9970293641090393,0.008276419714093208,0.001,0.9956627488136292,0.999875545501709,0.9939867258071899,0.9194358587265015,0.024086277931928635,0.8788386583328247,0.9987291693687439
31,0.9960852265357971,0.9973185658454895,0.008181005716323853,0.001,0.9962405562400818,0.999880313873291,0.9939160943031311,0.8887453675270081,0.025360532104969025,0.7892888784408569,0.9986655712127686
32,0.996371865272522,0.9978704452514648,0.007417274639010429,0.000100000005,0.9970273375511169,0.9999123811721802,0.9942818284034729,0.9298840761184692,0.020696640014648438,0.8681477904319763,0.9989526271820068
33,0.996454119682312,0.9979254603385925,0.007241276558488607,0.000100000005,0.9970705509185791,0.9999231696128845,0.994334876537323,0.9265890717506409,0.020885301753878593,0.8603046536445618,0.9989528656005859
34,0.996486246585846,0.9979365468025208,0.007160032168030739,0.000100000005,0.9970635175704956,0.9999251365661621,0.9944164156913757,0.9257668256759644,0.020931845530867577,0.8586552143096924,0.9990264773368835
35,0.9965022802352905,0.9981317520141602,0.007096171844750643,0.000100000005,0.9974366426467896,0.9999270439147949,0.9941266775131226,0.9308710694313049,0.021165519952774048,0.8704872727394104,0.9988231062889099
36,0.9965166449546814,0.9981352686882019,0.007065913174301386,0.000100000005,0.9974331259727478,0.9999253749847412,0.9942194819450378,0.9284319877624512,0.02108067274093628,0.8644382953643799,0.998872697353363
37,0.9965617656707764,0.9981496334075928,0.006967282388359308,0.000100000005,0.9974260330200195,0.9999237656593323,0.9943482279777527,0.9293307662010193,0.020743563771247864,0.8659799695014954,0.9989756345748901
38,0.9965946078300476,0.9982408881187439,0.006875148043036461,1.0000001e-05,0.9975759983062744,0.9999327063560486,0.9943149089813232,0.9263356924057007,0.021099207922816277,0.8600184917449951,0.9989525675773621
39,0.9966136813163757,0.9981463551521301,0.006844842340797186,1.0000001e-05,0.9973722696304321,0.9999354481697083,0.9943102598190308,0.9255370497703552,0.021242115646600723,0.8587360382080078,0.9989545345306396
40,0.9966007471084595,0.9981880784034729,0.0068868291564285755,1.0000001e-05,0.9974754452705383,0.9999331831932068,0.9943094849586487,0.9263463020324707,0.021182114258408546,0.8603349328041077,0.998948872089386
41,0.9965881109237671,0.9981960654258728,0.006865223869681358,1.0000001e-05,0.9974833726882935,0.9999333620071411,0.994316041469574,0.925972580909729,0.02119101770222187,0.859389066696167,0.9989601969718933
42,0.9965876936912537,0.9983108639717102,0.006871518213301897,1.0000001e-05,0.9977189302444458,0.999930202960968,0.9943056106567383,0.9263114929199219,0.02120227739214897,0.8601565361022949,0.9989424347877502
