epoch,accuracy,auc,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,val_accuracy,val_auc,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity
0,0.9163548350334167,0.6320355534553528,0.5122683644294739,0.001,0.6452251076698303,0.6655954122543335,0.9890086650848389,0.724101722240448,0.45731839537620544,0.7268871665000916,0.8223996758460999
1,0.9911938309669495,0.8046280741691589,0.28582102060317993,0.001,0.8473305106163025,0.9248384833335876,0.990551233291626,0.5774868130683899,0.24972885847091675,0.519000232219696,0.5143387317657471
2,0.9919385313987732,0.8414493799209595,0.1760159581899643,0.001,0.8786835074424744,0.9784136414527893,0.9906286001205444,0.6052184700965881,0.22839932143688202,0.5884137153625488,0.6074331998825073
3,0.992479681968689,0.9098963737487793,0.11477629095315933,0.001,0.9296074509620667,0.9974088072776794,0.9905667304992676,0.5019475221633911,0.18310363590717316,0.48376673460006714,0.38326671719551086
4,0.9929060935974121,0.941715657711029,0.079609215259552,0.001,0.9474565386772156,0.9984214901924133,0.9908607602119446,0.562538743019104,0.13009747862815857,0.5543314218521118,0.5416497588157654
5,0.9932079315185547,0.954637885093689,0.05942285805940628,0.001,0.9613194465637207,0.998820960521698,0.9910074472427368,0.6613291501998901,0.08567368984222412,0.6180695295333862,0.6349244713783264
6,0.993695080280304,0.9678663015365601,0.04610438272356987,0.001,0.9650489687919617,0.9992433190345764,0.9912804365158081,0.640292763710022,0.11864470690488815,0.631338894367218,0.6707532405853271
7,0.9940561652183533,0.9734221696853638,0.03731624409556389,0.001,0.9762717485427856,0.9994129538536072,0.9912467002868652,0.7064508199691772,0.10517799109220505,0.6880383491516113,0.7782960534095764
8,0.9943535327911377,0.9816258549690247,0.03060598112642765,0.001,0.9814717173576355,0.9994886517524719,0.992621898651123,0.8572478294372559,0.049216412007808685,0.8544576168060303,0.9913612604141235
9,0.9946619868278503,0.9851725101470947,0.025708308443427086,0.001,0.9869988560676575,0.999579131603241,0.9933590888977051,0.9430422186851501,0.03160891681909561,0.9180846810340881,0.9979845285415649
10,0.9947485327720642,0.988217830657959,0.022634832188487053,0.001,0.9823652505874634,0.9996308088302612,0.9918400049209595,0.913510262966156,0.05932166054844856,0.9523857831954956,0.9912736415863037
11,0.9949659705162048,0.9894872903823853,0.019991079345345497,0.001,0.9910485744476318,0.9996593594551086,0.9925040006637573,0.8807061314582825,0.03622189909219742,0.8384078145027161,0.9962285757064819
12,0.9948968291282654,0.9879525899887085,0.01887640543282032,0.001,0.9851844310760498,0.9996612071990967,0.9926624298095703,0.9242305755615234,0.0337555967271328,0.9080265760421753,0.9975892305374146
13,0.9951375126838684,0.9913826584815979,0.016567565500736237,0.001,0.9868206977844238,0.9997053146362305,0.9940429329872131,0.9535745978355408,0.025839537382125854,0.9336867928504944,0.998880922794342
14,0.9952179789543152,0.9924765229225159,0.015330828726291656,0.001,0.9857533574104309,0.9997314810752869,0.9322615265846252,0.909762442111969,0.14097264409065247,0.9420718550682068,0.9946774840354919
15,0.9952802062034607,0.9932207465171814,0.014488903805613518,0.001,0.995660126209259,0.999748706817627,0.9903776049613953,0.8971127271652222,0.07090748101472855,0.9545636773109436,0.9948295950889587
16,0.9952185750007629,0.9923027753829956,0.014219503849744797,0.001,0.9925322532653809,0.9997369050979614,0.9941132664680481,0.9223294854164124,0.029405945912003517,0.9301759004592896,0.9988691806793213
17,0.995442271232605,0.9945686459541321,0.012815476395189762,0.001,0.9932599663734436,0.9997695684432983,0.9930222034454346,0.9629974365234375,0.02514716610312462,0.9750433564186096,0.9983168244361877
18,0.9954900145530701,0.9954651594161987,0.012149707414209843,0.001,0.9940106272697449,0.9997903108596802,0.9930329918861389,0.9172859191894531,0.0300881490111351,0.8857964873313904,0.9977954030036926
19,0.9954851865768433,0.9947620034217834,0.01190773956477642,0.001,0.9924969673156738,0.999784529209137,0.994343101978302,0.9470181465148926,0.025413161143660545,0.9446133375167847,0.9989786148071289
20,0.9955818057060242,0.9954947233200073,0.011216334067285061,0.001,0.9935166239738464,0.9998082518577576,0.9938721656799316,0.9401093125343323,0.02379700541496277,0.9070066213607788,0.9986230134963989
21,0.9956685304641724,0.9961401224136353,0.010687822476029396,0.001,0.9945733547210693,0.9998136162757874,0.9942967891693115,0.9425100684165955,0.02229197323322296,0.9057140350341797,0.9990060925483704
22,0.9956581592559814,0.9958651661872864,0.010483773425221443,0.001,0.99400794506073,0.9998204708099365,0.993161678314209,0.8998803496360779,0.0349397212266922,0.8813767433166504,0.997826874256134
