
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 55, Train Loss: 0.033913569524884224, Train Iou: 0.3470728236221955, Validation IOU: 0.3924371341012056
Epoch 56, Train Loss: 0.033285216614604, Train Iou: 0.34718425206101233, Validation IOU: 0.35996775235896067
Epoch 57, Train Loss: 0.032417990081012246, Train Iou: 0.3425583151805168, Validation IOU: 0.3912229868199449
Epoch 58, Train Loss: 0.03222054475918412, Train Iou: 0.34692454864418265, Validation IOU: 0.34243664954410014
Epoch 59, Train Loss: 0.03178945891559124, Train Iou: 0.34520708143598616, Validation IOU: 0.4072214397742062
Epoch 60, Train Loss: 0.03129057362675667, Train Iou: 0.3482840359585924, Validation IOU: 0.40325866683985084
Epoch 61, Train Loss: 0.030476177018135785, Train Iou: 0.3488620349663901, Validation IOU: 0.34383158041040557
Epoch 62, Train Loss: 0.02957282876595855, Train Iou: 0.3415014030826156, Validation IOU: 0.37828185871132947
Epoch 63, Train Loss: 0.029035627841949463, Train Iou: 0.3371179356088639, Validation IOU: 0.5207082696312371
Epoch 64, Train Loss: 0.028701149579137563, Train Iou: 0.3383565928392052, Validation IOU: 0.3599284935241192
Epoch 65, Train Loss: 0.028224362153559925, Train Iou: 0.33990393245945977, Validation IOU: 0.3395574076958165
Epoch 66, Train Loss: 0.027652175351977348, Train Iou: 0.3362448079875651, Validation IOU: 0.3938572142409261
Epoch 67, Train Loss: 0.027294959221035243, Train Iou: 0.33851162800560086, Validation IOU: 0.5127699223362756
Epoch 68, Train Loss: 0.027422031201422215, Train Iou: 0.3408845484664143, Validation IOU: 0.3586178179470005
Epoch 69, Train Loss: 0.027123403921723365, Train Iou: 0.34097123411097985, Validation IOU: 0.37389812032565845
Epoch 70, Train Loss: 0.026087601203471422, Train Iou: 0.3373410509098876, Validation IOU: 0.37527521952067977
