
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 32, Train Loss: 0.029366379231214525, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.20979741138031124, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4558149960924835
Epoch 33, Train Loss: 0.02786149736493826, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.19998591834108462, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5382668391631795
Epoch 34, Train Loss: 0.0264654622413218, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.19033549705642355, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5495175183680729
Epoch 35, Train Loss: 0.025338796246796847, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.19117186077232295, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5611467667934948
Epoch 36, Train Loss: 0.02425743853673339, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.18824255455693922, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5336811580741546
Epoch 37, Train Loss: 0.02319399602711201, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1828228993542188, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5355930831307398
Epoch 38, Train Loss: 0.02224705312401056, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.18115451140172384, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5192824581311841
Epoch 39, Train Loss: 0.021256561670452357, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.17298707894102547, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5683071234150927
Epoch 40, Train Loss: 0.020377809554338454, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.16942510507252018, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.603845744341049
Epoch 41, Train Loss: 0.019419493712484838, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.15886839866772906, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4621190464306188
Epoch 42, Train Loss: 0.018682355992496014, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1562135427486007, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.41829042605582134
Epoch 43, Train Loss: 0.01788490926846862, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.15114148590906862, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.48527015721324324
Epoch 44, Train Loss: 0.0172552602365613, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.15027998443147478, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5331761711660971
Epoch 45, Train Loss: 0.016720545850694178, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1523612196946992, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6087663899354088
Epoch 46, Train Loss: 0.01613859096542001, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.15160105685186398, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4676432086581084
Epoch 47, Train Loss: 0.015574085665866733, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.14851875779103585, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4793663235989035
Epoch 48, Train Loss: 0.014986962825059891, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.14467121688008322, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4407882370531757
Epoch 49, Train Loss: 0.014468146162107587, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.142759505419013, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4291729157357214
Epoch 50, Train Loss: 0.01405044593848288, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.14392212275647287, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.596389524987346
Epoch 51, Train Loss: 0.013448730343952775, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.13473257716560022, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.47108360462212506
Epoch 52, Train Loss: 0.01307410504668951, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1357542826315351, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5705954145563132
