
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 42, Train Loss: 0.04168805759400129, Train Iou: 0.24995526024087417, Validation Loss: 0.065321896225214, Validation IOU: 0.24417284504311138
Epoch 43, Train Loss: 0.04047533757984638, Train Iou: 0.24690208620957885, Validation Loss: 0.12823990359902382, Validation IOU: 0.2627278804123893
Epoch 44, Train Loss: 0.04017038587480783, Train Iou: 0.2493123919592531, Validation Loss: 0.1524835340678692, Validation IOU: 0.2590537283362407
Epoch 45, Train Loss: 0.03952049873769283, Train Iou: 0.24144000235385307, Validation Loss: 0.10930774733424187, Validation IOU: 0.2743484852295494
Epoch 46, Train Loss: 0.0384472593665123, Train Iou: 0.24693944117002928, Validation Loss: 0.052506848238408566, Validation IOU: 0.2506045612257135
Epoch 47, Train Loss: 0.03795131891965866, Train Iou: 0.24353489673291775, Validation Loss: 0.05359419994056225, Validation IOU: 0.24630370958826847
Epoch 48, Train Loss: 0.037463847547769547, Train Iou: 0.24471133624394384, Validation Loss: 0.08829046413302422, Validation IOU: 0.2833605507039343
Epoch 49, Train Loss: 0.0370680833235383, Train Iou: 0.24187901037523915, Validation Loss: 0.07441902160644531, Validation IOU: 0.26486881889179537
Epoch 50, Train Loss: 0.03649318404495716, Train Iou: 0.24299652788841436, Validation Loss: 0.07249568775296211, Validation IOU: 0.3040075103667083
Epoch 51, Train Loss: 0.03609219789505005, Train Iou: 0.24276528368302333, Validation Loss: 0.0820772685110569, Validation IOU: 0.2930341564433952
Epoch 52, Train Loss: 0.035433366894721985, Train Iou: 0.24086594418560084, Validation Loss: 0.07253623008728027, Validation IOU: 0.30551017657429863
Epoch 53, Train Loss: 0.0351278442889452, Train Iou: 0.23735751012489806, Validation Loss: 0.057744719088077545, Validation IOU: 0.28420295612889857
Epoch 54, Train Loss: 0.03493530191481113, Train Iou: 0.23966117444588114, Validation Loss: 0.052859184332191944, Validation IOU: 0.21420670364854993
Model saved
Epoch 55, Train Loss: 0.03431918919086456, Train Iou: 0.23867045222949268, Validation Loss: 0.05071711353957653, Validation IOU: 0.21430346122694743
Epoch 56, Train Loss: 0.034583160560578106, Train Iou: 0.24073486902000152, Validation Loss: 0.10844358801841736, Validation IOU: 0.27989341736439066
Epoch 57, Train Loss: 0.033906403556466104, Train Iou: 0.2401860422398757, Validation Loss: 0.05608569271862507, Validation IOU: 0.25052890082554335
Epoch 58, Train Loss: 0.0332458314485848, Train Iou: 0.2362603039868631, Validation Loss: 0.07313789799809456, Validation IOU: 0.26945976551162937
Epoch 59, Train Loss: 0.03292247857898474, Train Iou: 0.2359256810386754, Validation Loss: 0.08097628876566887, Validation IOU: 0.2934769349740364
Epoch 60, Train Loss: 0.032947353832423684, Train Iou: 0.23260089046118546, Validation Loss: 0.04973497148603201, Validation IOU: 0.21603409760856768
Epoch 61, Train Loss: 0.033167590480297805, Train Iou: 0.2404225670383974, Validation Loss: 0.053312153555452824, Validation IOU: 0.2142348220495333
Epoch 62, Train Loss: 0.032729850988835095, Train Iou: 0.23791789750706566, Validation Loss: 0.05812409333884716, Validation IOU: 0.26085142007839246
Epoch 63, Train Loss: 0.03230103328824043, Train Iou: 0.2363338302620742, Validation Loss: 0.06212763115763664, Validation IOU: 0.26208703578820824
Epoch 64, Train Loss: 0.03215809855610132, Train Iou: 0.23873512380530185, Validation Loss: 0.08326315507292747, Validation IOU: 0.32654508140090105
Epoch 65, Train Loss: 0.031789838802069426, Train Iou: 0.23197364670742746, Validation Loss: 0.049712576903402805, Validation IOU: 0.24447053794216483
Epoch 66, Train Loss: 0.03169405944645405, Train Iou: 0.23401247791484625, Validation Loss: 0.047398777678608894, Validation IOU: 0.2170225978254401
Epoch 67, Train Loss: 0.031415853463113305, Train Iou: 0.23385871589683926, Validation Loss: 0.07220641523599625, Validation IOU: 0.30845634503727043
Epoch 68, Train Loss: 0.031036584079265593, Train Iou: 0.23268217568272848, Validation Loss: 0.16205525398254395, Validation IOU: 0.2761352108948543
Epoch 69, Train Loss: 0.030878936778753995, Train Iou: 0.2304457210919404, Validation Loss: 0.05142070632427931, Validation IOU: 0.24658310754408924
Epoch 70, Train Loss: 0.030680966656655075, Train Iou: 0.23488836128918464, Validation Loss: 0.07108697295188904, Validation IOU: 0.2672034604382154
Epoch 71, Train Loss: 0.03072172272950411, Train Iou: 0.2298621042239347, Validation Loss: 0.08082567900419235, Validation IOU: 0.2715018329443844
Epoch 72, Train Loss: 0.0307565332390368, Train Iou: 0.2322264578613959, Validation Loss: 0.060849614441394806, Validation IOU: 0.2550913037836905
Epoch 73, Train Loss: 0.030668108351528646, Train Iou: 0.2357794444748751, Validation Loss: 0.04796449653804302, Validation IOU: 0.21649070547186267
Epoch 74, Train Loss: 0.030467195622622966, Train Iou: 0.23487910477237856, Validation Loss: 0.06321525759994984, Validation IOU: 0.24771721850023276
Epoch 75, Train Loss: 0.030259349010884763, Train Iou: 0.234182297453917, Validation Loss: 0.04912047740072012, Validation IOU: 0.23279286817845335
Epoch 76, Train Loss: 0.02975305588915944, Train Iou: 0.2289566341004856, Validation Loss: 0.07633205130696297, Validation IOU: 0.29034028117376176
Epoch 77, Train Loss: 0.02988278167322278, Train Iou: 0.2315651980053722, Validation Loss: 0.07204837910830975, Validation IOU: 0.26295569960646403
Epoch 78, Train Loss: 0.02977366270497441, Train Iou: 0.23097668264739418, Validation Loss: 0.15754810348153114, Validation IOU: 0.2734251274205757
Epoch 79, Train Loss: 0.03004457289353013, Train Iou: 0.23121899519380174, Validation Loss: 0.05853249132633209, Validation IOU: 0.2682636189608372
Epoch 80, Train Loss: 0.029948723129928113, Train Iou: 0.23354877054115658, Validation Loss: 0.06487776711583138, Validation IOU: 0.24613000495486825
Epoch 81, Train Loss: 0.0294765860773623, Train Iou: 0.2290977868299509, Validation Loss: 0.08338531106710434, Validation IOU: 0.2965194024011648
Epoch 82, Train Loss: 0.029404462594538928, Train Iou: 0.22680841654304107, Validation Loss: 0.07593775540590286, Validation IOU: 0.2633308075717049
Epoch 83, Train Loss: 0.029338623117655515, Train Iou: 0.2290247588230537, Validation Loss: 0.08007778599858284, Validation IOU: 0.2664861105105649
Epoch 84, Train Loss: 0.0294955643825233, Train Iou: 0.2298083394018399, Validation Loss: 0.0657583698630333, Validation IOU: 0.24790856106711506
Epoch 85, Train Loss: 0.02921668579801917, Train Iou: 0.22806126408170688, Validation Loss: 0.0732567049562931, Validation IOU: 0.27332138591800775
Epoch 86, Train Loss: 0.02938023619353771, Train Iou: 0.22994349594421734, Validation Loss: 0.06960220634937286, Validation IOU: 0.2624561416259964
Epoch 87, Train Loss: 0.029044563230127097, Train Iou: 0.2265261493554714, Validation Loss: 0.0751352347433567, Validation IOU: 0.27291068710373856
Epoch 88, Train Loss: 0.029216023441404105, Train Iou: 0.23110315075657534, Validation Loss: 0.04923568991944194, Validation IOU: 0.21691703422117886
Epoch 89, Train Loss: 0.028887645900249483, Train Iou: 0.22593738536622182, Validation Loss: 0.05133952293545008, Validation IOU: 0.2126087073924337
Model saved
Epoch 90, Train Loss: 0.028981644939631224, Train Iou: 0.22761055035471295, Validation Loss: 0.0580318346619606, Validation IOU: 0.26029810703114054
Epoch 91, Train Loss: 0.02892782334238291, Train Iou: 0.22833938251072494, Validation Loss: 0.11146103218197823, Validation IOU: 0.27853488327875375
Epoch 92, Train Loss: 0.028788403142243624, Train Iou: 0.22578002319087384, Validation Loss: 0.052258108742535114, Validation IOU: 0.22860920028661763
Epoch 93, Train Loss: 0.02855895785614848, Train Iou: 0.22583457195662296, Validation Loss: 0.05250264052301645, Validation IOU: 0.2454827960194652
Epoch 94, Train Loss: 0.028996957652270793, Train Iou: 0.22866259427516722, Validation Loss: 0.07515605539083481, Validation IOU: 0.3031128080482479
Epoch 95, Train Loss: 0.02890085531398654, Train Iou: 0.22626519904175518, Validation Loss: 0.06676134839653969, Validation IOU: 0.24827266117193741
Epoch 96, Train Loss: 0.029094649478793144, Train Iou: 0.2275296069819044, Validation Loss: 0.05722082778811455, Validation IOU: 0.2576927651588207
Epoch 97, Train Loss: 0.028793135844171047, Train Iou: 0.22720141266887905, Validation Loss: 0.0747486986219883, Validation IOU: 0.27471525396876845
Epoch 98, Train Loss: 0.028866890445351602, Train Iou: 0.22759029193765828, Validation Loss: 0.052114992402493954, Validation IOU: 0.244585058241427
Epoch 99, Train Loss: 0.029122812021523715, Train Iou: 0.22698360188985908, Validation Loss: 0.052685835398733616, Validation IOU: 0.24332922191611916
Epoch 100, Train Loss: 0.02880675010383129, Train Iou: 0.22793228742557364, Validation Loss: 0.17332951352000237, Validation IOU: 0.26414508895760247
Model saved
