
/home/nitro/Studia/Praca Dyplomowa/noisy_labels/Dataset/SegSperm/train
/home/nitro/Studia/Praca Dyplomowa/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3070 Laptop GPU
Epoch 54, Train Loss: 0.5552286894785033, Validation Loss: 0.5674068629741669, Validation IOU: 0.6397055568563312
Epoch 55, Train Loss: 0.5552042060428195, Validation Loss: 0.5677894204854965, Validation IOU: 0.6519632973048296
Epoch 56, Train Loss: 0.5551990067793263, Validation Loss: 0.5677778497338295, Validation IOU: 0.6476779163686653
Epoch 57, Train Loss: 0.5551965638167329, Validation Loss: 0.5676953718066216, Validation IOU: 0.6391130703069985
Epoch 58, Train Loss: 0.5552040110859606, Validation Loss: 0.568078376352787, Validation IOU: 0.6420740560393705
Epoch 59, Train Loss: 0.5552051671677165, Validation Loss: 0.5680409073829651, Validation IOU: 0.6414527037017177
Epoch 60, Train Loss: 0.555209044367075, Validation Loss: 0.567513607442379, Validation IOU: 0.6392914132483708
Epoch 61, Train Loss: 0.5551905255350802, Validation Loss: 0.567791074514389, Validation IOU: 0.639995624076784
Epoch 62, Train Loss: 0.5551913662089242, Validation Loss: 0.5679257586598396, Validation IOU: 0.6387138636745069
Epoch 63, Train Loss: 0.5552077367901802, Validation Loss: 0.5675919502973557, Validation IOU: 0.6500307955410729
Epoch 64, Train Loss: 0.5551959520412816, Validation Loss: 0.5676733925938606, Validation IOU: 0.6412369260348134
Epoch 65, Train Loss: 0.5552047205468019, Validation Loss: 0.5678477138280869, Validation IOU: 0.6410990693614667
Epoch 66, Train Loss: 0.5551914552019702, Validation Loss: 0.5679352581501007, Validation IOU: 0.6457718188401508
Epoch 67, Train Loss: 0.5551785164409213, Validation Loss: 0.5675930306315422, Validation IOU: 0.6378243781077447
Epoch 68, Train Loss: 0.5551889476676782, Validation Loss: 0.5685144513845444, Validation IOU: 0.6408581189345851
Epoch 69, Train Loss: 0.5551852004395591, Validation Loss: 0.5676474943757057, Validation IOU: 0.6465628779561802
Epoch 70, Train Loss: 0.5552016475962268, Validation Loss: 0.5679208338260651, Validation IOU: 0.6473291299951178
Epoch 71, Train Loss: 0.555193566199806, Validation Loss: 0.5674035847187042, Validation IOU: 0.6480514428677195
