
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 56, Train Loss: 11.847218799591065, Train Iou: 0.8570240069308553, Validation IOU: 0.9380475669571102
Model saved
Epoch 57, Train Loss: 11.844570207595826, Train Iou: 0.8444885763475763, Validation IOU: 0.9593253660124141
Epoch 58, Train Loss: 11.841982126235962, Train Iou: 0.8338658467860494, Validation IOU: 0.9052588092227314
Model saved
Epoch 59, Train Loss: 11.842189645767212, Train Iou: 0.8214385598226229, Validation IOU: 0.9184226517786147
Epoch 60, Train Loss: 11.838446474075317, Train Iou: 0.8122523511115054, Validation IOU: 0.8687749337007233
Model saved
Epoch 61, Train Loss: 11.835640001296998, Train Iou: 0.8050280623301838, Validation IOU: 0.8931520890148399
Epoch 62, Train Loss: 11.835902738571168, Train Iou: 0.8000360917663633, Validation IOU: 0.8890356893062418
Epoch 63, Train Loss: 11.833872842788697, Train Iou: 0.7972305647145321, Validation IOU: 0.8587809397790933
Model saved
Epoch 64, Train Loss: 11.83095383644104, Train Iou: 0.7910898563479095, Validation IOU: 0.8739779048602259
Epoch 65, Train Loss: 11.829122066497803, Train Iou: 0.7883807225303328, Validation IOU: 0.8695536120432079
Epoch 66, Train Loss: 11.825684452056885, Train Iou: 0.787595735382535, Validation IOU: 0.8672734735741193
Epoch 67, Train Loss: 11.827789974212646, Train Iou: 0.7871384666252286, Validation IOU: 0.8196402219392749
Model saved
Epoch 68, Train Loss: 11.82580599784851, Train Iou: 0.7828304649874795, Validation IOU: 0.8707927155332997
Epoch 69, Train Loss: 11.824564027786256, Train Iou: 0.7823633006090388, Validation IOU: 0.8357468933078813
Epoch 70, Train Loss: 11.823197412490845, Train Iou: 0.780804628528687, Validation IOU: 0.8606060704535001
Epoch 71, Train Loss: 11.822056436538697, Train Iou: 0.7797332226503298, Validation IOU: 0.8620214006334017
