
/home/nitro/Studia/Praca Dyplomowa/noisy_labels/Dataset/SegSperm/train
/home/nitro/Studia/Praca Dyplomowa/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3070 Laptop GPU
Epoch 54, Train Loss: 0.5537619185116556, Validation Loss: 0.56686220318079, Validation IOU: 0.6410759821412736
Epoch 55, Train Loss: 0.5536743385924233, Validation Loss: 0.5674436464905739, Validation IOU: 0.6483998236895085
Epoch 56, Train Loss: 0.5536108430888917, Validation Loss: 0.5672813206911087, Validation IOU: 0.6395956829342915
Epoch 57, Train Loss: 0.5534965813987784, Validation Loss: 0.5676620006561279, Validation IOU: 0.6444386276620867
Epoch 58, Train Loss: 0.5534195142487685, Validation Loss: 0.5674828663468361, Validation IOU: 0.6426834678642099
Epoch 59, Train Loss: 0.5533726422323121, Validation Loss: 0.5674033910036087, Validation IOU: 0.6447543201191418
Epoch 60, Train Loss: 0.5532623264524672, Validation Loss: 0.56764255464077, Validation IOU: 0.6382972497587964
Epoch 61, Train Loss: 0.553218174725771, Validation Loss: 0.5677526593208313, Validation IOU: 0.6405255128748018
Epoch 62, Train Loss: 0.5531401526596811, Validation Loss: 0.5677404999732971, Validation IOU: 0.6467167886396786
Epoch 63, Train Loss: 0.5530769096480476, Validation Loss: 0.5677823200821877, Validation IOU: 0.6536879809109523
Epoch 64, Train Loss: 0.5530272246234946, Validation Loss: 0.5671582445502281, Validation IOU: 0.6457005781483685
Epoch 65, Train Loss: 0.5529762672053443, Validation Loss: 0.5672790557146072, Validation IOU: 0.6414851669989823
Epoch 66, Train Loss: 0.5529203957153691, Validation Loss: 0.5674589797854424, Validation IOU: 0.6393253038498965
Epoch 67, Train Loss: 0.5528570314248403, Validation Loss: 0.5677028074860573, Validation IOU: 0.6393615442426176
Epoch 68, Train Loss: 0.5528061534795496, Validation Loss: 0.5676480233669281, Validation IOU: 0.6418958825745903
Epoch 69, Train Loss: 0.5527575251956781, Validation Loss: 0.5675338506698608, Validation IOU: 0.6465325890473411
Epoch 70, Train Loss: 0.5527312883900272, Validation Loss: 0.5675550103187561, Validation IOU: 0.6443272777797272
Epoch 71, Train Loss: 0.5526858410901494, Validation Loss: 0.5681218132376671, Validation IOU: 0.643025629640337
Epoch 72, Train Loss: 0.5526569978230529, Validation Loss: 0.5675462558865547, Validation IOU: 0.647712329885422
Epoch 73, Train Loss: 0.5526075375576814, Validation Loss: 0.5677105486392975, Validation IOU: 0.6406757914438015
Epoch 74, Train Loss: 0.5525808971789148, Validation Loss: 0.5674761682748795, Validation IOU: 0.6401767176532897
Epoch 75, Train Loss: 0.55255337845948, Validation Loss: 0.5676716417074203, Validation IOU: 0.6425440313823674
Epoch 76, Train Loss: 0.5525172551472982, Validation Loss: 0.5676145777106285, Validation IOU: 0.6469015906610133
Epoch 77, Train Loss: 0.5524755178226365, Validation Loss: 0.567580059170723, Validation IOU: 0.6328073255595819
Epoch 78, Train Loss: 0.5524481638438172, Validation Loss: 0.5676028653979301, Validation IOU: 0.6432327517369976
Epoch 79, Train Loss: 0.5524221493138207, Validation Loss: 0.5677659809589386, Validation IOU: 0.6324049796290464
Epoch 80, Train Loss: 0.5524086919095781, Validation Loss: 0.5679274871945381, Validation IOU: 0.6443315941684098
Epoch 81, Train Loss: 0.5523816653423839, Validation Loss: 0.5678291097283363, Validation IOU: 0.6413382441841267
Epoch 82, Train Loss: 0.5523703549471166, Validation Loss: 0.5677362307906151, Validation IOU: 0.6347197749120544
